observationURI,sequenceNumber,obsID,collection,observationID,algorithm_name,type,intent
b'caom:TESS/tess2019140104343-s0012-0000000471013535-0144-s',12.0,b'00000000-0000-0000-b2f0-88bd2332c32d',b'TESS',b'tess2019140104343-s0012-0000000471013535-0144-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019140104343-s0012-0000000471013582-0144-s',12.0,b'00000000-0000-0000-9767-55aa234b2637',b'TESS',b'tess2019140104343-s0012-0000000471013582-0144-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019140104343-s0012-0000000350710135-0144-s',12.0,b'00000000-0000-0000-a000-bf1ada7637a3',b'TESS',b'tess2019140104343-s0012-0000000350710135-0144-s',b'timeseries',b'',b'science'
b'caom:JCMT/m95bh04@951129_101352_das_0229',,b'00000000-0000-0000-cebe-01440bf6eda3',b'JCMT',b'm95bh04@951129_101352_das_0229',b'exposure',b'',b'science'
b'caom:JCMT/myc17@940117_101350_ukt_0492',,b'00000000-0000-0000-cebe-01440b9de377',b'JCMT',b'myc17@940117_101350_ukt_0492',b'exposure',b'',b'science'
b'caom:TESS/tess2019169103026-s0013-0000000350710135-0146-s',13.0,b'00000000-0000-0000-beab-28ee8abc4f5f',b'TESS',b'tess2019169103026-s0013-0000000350710135-0146-s',b'timeseries',b'',b'science'
b'caom:JCMT/m05bd02@051106_101358_das_0063',,b'00000000-0000-0000-3ae1-0144128c7026',b'JCMT',b'm05bd02@051106_101358_das_0063',b'exposure',b'',b'science'
b'caom:JCMT/uh7@920802_101354_ukt_0092',,b'00000000-0000-0000-3ae1-01440ea7d69d',b'JCMT',b'uh7@920802_101354_ukt_0092',b'exposure',b'',b'science'
b'caom:TESS/tess2019169103026-s0013-0000000101359698-0146-s',13.0,b'00000000-0000-0000-abcd-560a913475ab',b'TESS',b'tess2019169103026-s0013-0000000101359698-0146-s',b'timeseries',b'',b'science'
b'caom:JCMT/mu50@910921_101357_aos_0106',,b'00000000-0000-0000-3ae1-01440fee0911',b'JCMT',b'mu50@910921_101357_aos_0106',b'exposure',b'',b'science'
b'caom:JCMT/sutton1@900318_101356_aos_0296',,b'00000000-0000-0000-3ae1-01441112f032',b'JCMT',b'sutton1@900318_101356_aos_0296',b'exposure',b'',b'science'
b'caom:CFHT/710135',710135.0,b'00000000-0000-0000-f271-0e932d4d189f',b'CFHT',b'710135',b'exposure',b'OBJECT',b'science'
b'caom:JCMT/mu57@920113_101351_aos_0139',,b'00000000-0000-0000-3ae1-0144125122f4',b'JCMT',b'mu57@920113_101351_aos_0139',b'exposure',b'',b'science'
b'caom:TESS/tess2019169103026-s0013-0000000101354316-0146-s',13.0,b'00000000-0000-0000-8361-b9c845c6bb3f',b'TESS',b'tess2019169103026-s0013-0000000101354316-0146-s',b'timeseries',b'',b'science'
b'caom:JCMT/acsis_00016_20101020T101350',16.0,b'00000000-0000-0000-5dc6-e3efa7196469',b'JCMT',b'acsis_00016_20101020T101350',b'exposure',b'focus',b'calibration'
b'caom:JCMT/acsis_00021_20101022T101354',21.0,b'00000000-0000-0000-1323-e3ef93d57dd9',b'JCMT',b'acsis_00021_20101022T101354',b'exposure',b'pointing',b'calibration'
b'caom:CFHT/610135',610135.0,b'00000000-0000-0000-c7f1-0e564cd44b6a',b'CFHT',b'610135',b'exposure',b'STARING OBJECT',b'calibration'
b'caom:TESS/tess2019169103026-s0013-0000000471013553-0146-s',13.0,b'00000000-0000-0000-a300-fd4888113273',b'TESS',b'tess2019169103026-s0013-0000000471013553-0146-s',b'timeseries',b'',b'science'
b'caom:JCMT/sutton2@900326_101351_aos_1501',,b'00000000-0000-0000-3ae1-01440fb79683',b'JCMT',b'sutton2@900326_101351_aos_1501',b'exposure',b'',b'science'
b'caom:JCMT/m96bu19@960904_101350_das_0560',,b'00000000-0000-0000-3ae1-01441185a926',b'JCMT',b'm96bu19@960904_101350_das_0560',b'exposure',b'',b'science'
b'caom:TESS/tess2019169103026-s0013-0000000101355041-0146-s',13.0,b'00000000-0000-0000-913a-8e0e65f4e98b',b'TESS',b'tess2019169103026-s0013-0000000101355041-0146-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019169103026-s0013-0000000471013569-0146-s',13.0,b'00000000-0000-0000-8605-e8e426cd14f4',b'TESS',b'tess2019169103026-s0013-0000000471013569-0146-s',b'timeseries',b'',b'science'
b'caom:JCMT/mt36@910526_101355_ukt_0243',,b'00000000-0000-0000-3ae1-01440ec03bd6',b'JCMT',b'mt36@910526_101355_ukt_0243',b'exposure',b'',b'science'
b'caom:TESS/tess2019169103026-s0013-0000000101357548-0146-s',13.0,b'00000000-0000-0000-9605-d3ff02e5c9c4',b'TESS',b'tess2019169103026-s0013-0000000101357548-0146-s',b'timeseries',b'',b'science'
b'caom:JCMT/mw19@930130_101358_aos_0100',,b'00000000-0000-0000-3ae1-01441089db85',b'JCMT',b'mw19@930130_101358_aos_0100',b'exposure',b'',b'science'
b'caom:TESS/tess2019169103026-s0013-0000000471013582-0146-s',13.0,b'00000000-0000-0000-9159-ed27add1cfa2',b'TESS',b'tess2019169103026-s0013-0000000471013582-0146-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019169103026-s0013-0000000471013535-0146-s',13.0,b'00000000-0000-0000-ba75-977ca0d54e52',b'TESS',b'tess2019169103026-s0013-0000000471013535-0146-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019169103026-s0013-0000000101357358-0146-s',13.0,b'00000000-0000-0000-8099-a6c80d1b4eab',b'TESS',b'tess2019169103026-s0013-0000000101357358-0146-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019169103026-s0013-0000000471013528-0146-s',13.0,b'00000000-0000-0000-a959-906cc3712fb1',b'TESS',b'tess2019169103026-s0013-0000000471013528-0146-s',b'timeseries',b'',b'science'
b'caom:JCMT/m96bc19@961202_101351_das_0026',,b'00000000-0000-0000-3ae1-014410c7f21e',b'JCMT',b'm96bc19@961202_101351_das_0026',b'exposure',b'',b'science'
b'caom:JCMT/acsis_00001_20100408T101354',1.0,b'00000000-0000-0000-f88e-e7612baa9146',b'JCMT',b'acsis_00001_20100408T101354',b'exposure',b'pointing',b'calibration'
b'caom:NEOSSAT/2018353101351',,b'd3530010-313b-48c0-9c0e-04cd7cf19810',b'NEOSSAT',b'2018353101351',b'exposure',b'dark',b'calibration'
b'caom:GEMINI/GS-2003A-Q-43-3-10135',,b'4cba0d7d-427a-4f99-969e-07b0a7eaf561',b'GEMINI',b'GS-2003A-Q-43-3-10135',b'exposure',b'OBJECT',b'science'
b'caom:JCMT/DAS_00039_19951126T101351',39.0,b'00000000-0000-0000-2ba7-02e14f58a2f4',b'JCMT',b'DAS_00039_19951126T101351',b'exposure',b'scan',b'science'
b'caom:JCMT/DAS_00042_19961202T101351',42.0,b'00000000-0000-0000-a6ca-033444a4470c',b'JCMT',b'DAS_00042_19961202T101351',b'exposure',b'grid',b'science'
b'caom:JCMT/acsis_00050_20090604T101352',50.0,b'00000000-0000-0000-0c2b-e3f0f9486b62',b'JCMT',b'acsis_00050_20090604T101352',b'exposure',b'pointing',b'calibration'
b'caom:DAO/dao_c122_2013_010135',,b'00000000-0000-0000-eb3f-0144197f879c',b'DAO',b'dao_c122_2013_010135',b'exposure',b'bias',b'calibration'
b'caom:JCMT/acsis_00048_20080915T101352',48.0,b'00000000-0000-0000-15be-e3eeb48b9315',b'JCMT',b'acsis_00048_20080915T101352',b'exposure',b'focus',b'calibration'
b'caom:NEOSSAT/2019321013500',,b'2af79675-5043-4896-bef7-79107067bef7',b'NEOSSAT',b'2019321013500',b'exposure',b'object',b'science'
b'caom:NEOSSAT/2019321013540',,b'63df6184-823b-4d59-8e43-2cc2a3341843',b'NEOSSAT',b'2019321013540',b'exposure',b'object',b'science'
b'caom:NEOSSAT/2019321013510',,b'4ff9c93c-7a6f-40b2-963e-6e137a461c27',b'NEOSSAT',b'2019321013510',b'exposure',b'object',b'science'
b'caom:NEOSSAT/2019321101350',,b'd1601e9d-62bc-4dbc-94be-3a33f8a5b47a',b'NEOSSAT',b'2019321101350',b'exposure',b'object',b'science'
b'caom:DAO/dao_c122_2012_010135',,b'00000000-0000-0000-e8e2-01441df27594',b'DAO',b'dao_c122_2012_010135',b'exposure',b'bias',b'calibration'
b'caom:NEOSSAT/2019321013520',,b'3ca6959e-d279-4b7e-8c41-50a44667df6f',b'NEOSSAT',b'2019321013520',b'exposure',b'object',b'science'
b'caom:NEOSSAT/2019321013530',,b'8ec798c6-a428-41cf-950f-3604b602c64c',b'NEOSSAT',b'2019321013530',b'exposure',b'object',b'science'
b'caom:NEOSSAT/2019321013550',,b'6e776e87-45b2-42d3-92c3-f119244f6722',b'NEOSSAT',b'2019321013550',b'exposure',b'object',b'science'
b'caom:JCMT/acsis_00049_20070920T101353',49.0,b'00000000-0000-0000-bb6b-e3ee4e9a2fed',b'JCMT',b'acsis_00049_20070920T101353',b'exposure',b'focus',b'calibration'
b'caom:DAO/dao_c182_2012_010135',,b'00000000-0000-0000-d14f-01442029cea3',b'DAO',b'dao_c182_2012_010135',b'exposure',b'object',b'science'
b'caom:JCMT/acsis_61_20070119T101354',61.0,b'00000000-0000-0000-1e4b-e3f122f289b4',b'JCMT',b'acsis_61_20070119T101354',b'exposure',b'pointing',b'calibration'
